name,mission,star_id,ra,dec,dist_pc,disposition,probability,radius_earth,period_days,top_reasons
K00832.01,Kepler,5372966,294.74396,40.53392,890.24,FALSE POSITIVE,0.007106091472342397,17.61,9.286358079,log_depth:-2.58;log_prad:-1.59;duration_ratio:+0.97
K00833.01,Kepler,5376067,295.50439,40.505489,1085.18,FALSE POSITIVE,0.0022773861157568387,31.44,3.951405455,log_prad:-2.64;duration_ratio:-1.32;koi_srad:-0.29
K00834.01,Kepler,5436502,287.89713,40.637821,1468.35,CONFIRMED,0.9838501355062339,7.89,23.65369415,log_prad:+1.86;duration_ratio:+1.22;koi_srad:+0.87
K00834.02,Kepler,5436502,287.89713,40.637821,1468.35,CONFIRMED,0.991600556312688,3.06,13.23352214,log_prad:+2.33;log_period:+0.88;duration_ratio:+0.85
K00834.03,Kepler,5436502,287.89713,40.637821,1468.35,CONFIRMED,0.9863800943925962,2.32,6.15560285,log_prad:+2.32;log_period:+0.95;koi_srad:+0.92
K00834.04,Kepler,5436502,287.89713,40.637821,1468.35,CONFIRMED,0.5622981633474714,1.62,2.090811305,log_prad:+1.57;koi_srad:+1.29;log_insol:-0.53
K00117.03,Kepler,10875245,297.02826,48.208611,486.58,CONFIRMED,0.959835735543803,1.53,3.180027898,log_prad:+1.71;duration_ratio:+1.27;koi_srad:+1.08
K00834.05,Kepler,5436502,287.89713,40.637821,1468.35,CONFIRMED,0.9861769563404162,2.67,50.4467417,log_prad:+2.29;duration_ratio:+0.93;koi_srad:+0.76
K00835.01,Kepler,5456651,294.20215,40.66341,615.35,CONFIRMED,0.9567682466668308,2.35,11.76307164,log_prad:+2.06;duration_ratio:+1.06;log_period:+0.75
K00835.02,Kepler,5456651,294.20215,40.66341,615.35,CONFIRMED,0.9523351451671213,2.37,56.2279271,log_prad:+2.23;log_depth:+1.34;duration_ratio:+1.27
K00836.01,Kepler,5481416,299.64285,40.691238,683.49,FALSE POSITIVE,0.02407963075598121,17.06,2.384052875,duration_ratio:-1.45;koi_steff:+0.78;log_prad:-0.77
K00837.01,Kepler,5531576,291.15878,40.750271,726.79,CONFIRMED,0.9794318958598888,2.25,7.953547,log_prad:+2.34;duration_ratio:+1.14;log_depth:+1.02
K00837.02,Kepler,5531576,291.15878,40.750271,726.79,CONFIRMED,0.9381661089482439,1.48,4.14451656,log_prad:+1.77;duration_ratio:+1.13;log_period:+0.92
K00838.01,Kepler,5534814,292.21436,40.759762,1238.49,FALSE POSITIVE,0.0010675806312570484,38.33,4.859386384,log_prad:-2.65;duration_ratio:-1.38;koi_steff:-0.68
K00850.01,Kepler,6291653,293.87811,41.66177,797.63,CONFIRMED,0.892568524579566,8.24,10.526294577,log_prad:+1.88;duration_ratio:+1.62;log_period:+0.59
K00851.01,Kepler,6392727,299.18686,41.74268,951.16,CONFIRMED,0.8779357016258378,5.39,4.583520948,log_prad:+1.80;duration_ratio:+1.50;log_period:+0.70
K00852.01,Kepler,6422070,283.31638,41.83712,1026.49,CONFIRMED,0.855588544520431,2.66,3.76181843,log_prad:+2.54;duration_ratio:-0.80;log_period:+0.78
K00853.01,Kepler,6428700,286.5657,41.808399,725.71,CONFIRMED,0.9467510979863458,3.01,8.20396958,log_prad:+2.59;log_period:+0.76;koi_steff:+0.56
K00853.02,Kepler,6428700,286.5657,41.808399,725.71,CONFIRMED,0.9065905068886807,3.01,14.49645186,log_prad:+2.53;duration_ratio:-1.26;log_depth:+0.85
K00841.03,Kepler,5792202,292.23676,41.08588,1015.92,CONFIRMED,0.976277722616527,2.19,6.54626149,log_prad:+2.29;duration_ratio:+1.01;log_period:+0.96
K00842.01,Kepler,5794379,292.91312,41.060921,499.07,CONFIRMED,0.9251063447651408,2.31,12.71809866,log_prad:+2.25;duration_ratio:+1.22;log_period:+0.76
