kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_quarters
5024372,FALSE POSITIVE,0.561524348,6.9700000e-06,-6.9700000e-06,131.7959300,9.010000e-03,-9.010000e-03,3.33600,0.42200,-0.42200,11111011101110111000000000000000
5633259,CANDIDATE,315.077171920,,,286.7429498,,,10.31000,,,11111011101110111000000000000000
5647638,FALSE POSITIVE,1.216078730,3.8920000e-05,-3.8920000e-05,132.4476000,1.810000e-02,-1.810000e-02,4.68600,0.41700,-0.41700,11111111111111111000000000000000
5653126,FALSE POSITIVE,38.495369850,8.0830000e-05,-8.0830000e-05,152.8494300,2.080000e-03,-2.080000e-03,12.87160,0.07720,-0.07720,11111111111111111000000000000000
5686974,FALSE POSITIVE,4.182244160,5.1240000e-05,-5.1240000e-05,134.0885000,1.170000e-02,-1.170000e-02,6.20900,0.20800,-0.20800,11110111011101110000000000000000
5696909,FALSE POSITIVE,0.643002821,7.9000000e-08,-7.9000000e-08,131.6896850,1.000000e-04,-1.000000e-04,1.02608,0.00661,-0.00661,11111111111111111000000000000000
5697628,FALSE POSITIVE,1.951195410,1.7150000e-05,-1.7150000e-05,133.3951000,8.320000e-03,-8.320000e-03,1.90700,0.27700,-0.27700,11111111111111111000000000000000
5700330,FALSE POSITIVE,53.220416998,5.7520000e-06,-5.7520000e-06,138.5798799,8.960000e-05,-8.960000e-05,17.73440,0.00653,-0.00653,11111111111111111000000000000000
5702770,CANDIDATE,8.001889700,1.0450000e-04,-1.0450000e-04,135.4193000,1.180000e-02,-1.180000e-02,3.42500,0.27200,-0.27200,11111111111111111000000000000000
6614748,CANDIDATE,383.853620000,1.8020000e-02,-1.8020000e-02,426.5941000,3.460000e-02,-3.460000e-02,9.76000,1.60000,-1.60000,11111111111111111000000000000000
6628926,CANDIDATE,2.564012541,,,134.2733914,,,0.94330,,,00000000000001100000000000000000
6629156,FALSE POSITIVE,0.715381720,,,131.5505000,,,5.00000,,,11111111111111111000000000000000
6629588,FALSE POSITIVE,2.264471713,5.3800000e-07,-5.3800000e-07,131.5188050,1.940000e-04,-1.940000e-04,7.18030,0.01150,-0.01150,11111111111111111000000000000000
6636020,FALSE POSITIVE,18.360223900,2.6580000e-04,-2.6580000e-04,143.4753000,1.590000e-02,-1.590000e-02,2.35200,0.31600,-0.31600,11111111111111000000000000000
6664842,CANDIDATE,5.213950460,9.9360000e-05,-9.9360000e-05,135.7252000,1.660000e-02,-1.660000e-02,3.18800,0.46300,-0.46300,11111111111111111000000000000000
6665064,CANDIDATE,24.996068000,3.8030000e-03,-3.8030000e-03,144.9693000,2.270000e-02,-2.270000e-02,5.62300,0.38700,-0.38700,11100000000000000000000000000000
6670610,CANDIDATE,8.942964500,1.2930000e-04,-1.2930000e-04,137.2637300,9.080000e-03,-9.080000e-03,1.80300,0.69900,-0.69900,11110111011101110000000000000000
7431665,FALSE POSITIVE,281.509095000,1.5370000e-03,-1.5370000e-03,171.5271500,6.360000e-03,-6.360000e-03,40.96300,0.42700,-0.42700,11111111111111111000000000000000
7447895,CANDIDATE,2.405625303,5.2220000e-06,-5.2220000e-06,133.1422100,1.850000e-03,-1.850000e-03,0.62830,0.06360,-0.06360,11111111111111111000000000000000
7455553,FALSE POSITIVE,3.258249472,1.2780000e-06,-1.2780000e-06,134.5965600,3.250000e-04,-3.250000e-04,2.63580,0.01710,-0.01710,11111111111111111000000000000000
7456521,FALSE POSITIVE,552.829506300,2.5400000e-04,-2.5400000e-04,484.2608790,3.240000e-04,-3.240000e-04,16.08510,0.02340,-0.02340,11111111111111111000000000000000
7461314,FALSE POSITIVE,0.773595312,2.4970000e-06,-2.4970000e-06,132.0877600,2.720000e-03,-2.720000e-03,0.78100,0.10900,-0.10900,11111111111111111000000000000000
7461521,CANDIDATE,0.773530100,2.7510000e-05,-2.7510000e-05,132.1961000,4.380000e-02,-4.380000e-02,1.33500,0.12500,-0.12500,00000000000001100000000000000000
7499571,FALSE POSITIVE,533.659300000,2.6510000e-02,-2.6510000e-02,375.2280000,3.380000e-02,-3.380000e-02,12.81000,1.90000,-1.90000,11111111111111111000000000000000
7537660,CANDIDATE,2.421868980,,,132.7886605,,,6.22000,,,11111111111111111000000000000000
7541502,FALSE POSITIVE,44.827323809,1.9900000e-06,-1.9900000e-06,173.4103489,3.610000e-05,-3.610000e-05,6.86103,0.00342,-0.00342,11111111111111111000000000000000
8285254,FALSE POSITIVE,7.535894184,1.2510000e-06,-1.2510000e-06,137.7812310,1.350000e-04,-1.350000e-04,8.30590,0.00894,-0.00894,11111111111111111000000000000000
8285970,FALSE POSITIVE,0.562498925,3.8500000e-07,-3.8500000e-07,131.7506230,5.430000e-04,-5.430000e-04,0.67430,0.03010,-0.03010,11111111111111111000000000000000
8288719,FALSE POSITIVE,0.755049082,6.8000000e-08,-6.8000000e-08,132.1942347,7.670000e-05,-7.670000e-05,2.09643,0.00220,-0.00220,11111111111111111000000000000000
8294484,FALSE POSITIVE,1.012694226,2.6650000e-06,-2.6650000e-06,132.4489600,2.660000e-03,-2.660000e-03,3.60170,0.04420,-0.04420,00000000001010000000000000000000
8296467,FALSE POSITIVE,10.303356001,8.2100000e-07,-8.2100000e-07,137.1682892,6.540000e-05,-6.540000e-05,5.98633,0.00359,-0.00359,11111111111111111000000000000000
8301013,FALSE POSITIVE,2.214029545,1.2300000e-07,-1.2300000e-07,133.1692046,4.590000e-05,-4.590000e-05,5.64264,0.00218,-0.00218,11111111111111111000000000000000
8302455,FALSE POSITIVE,2.441988077,2.4800000e-07,-2.4800000e-07,132.1323834,8.210000e-05,-8.210000e-05,3.94526,0.00510,-0.00510,10101010101010101000000000000000
8302473,FALSE POSITIVE,2.442001930,4.0000000e-05,-4.0000000e-05,132.1295000,1.530000e-02,-1.530000e-02,3.14600,0.38200,-0.38200,10101010101010101000000000000000
8311864,CONFIRMED,384.847556000,7.1050000e-03,-7.1050000e-03,314.9700000,1.520000e-02,-1.520000e-02,9.96900,0.44100,-0.44100,11111111111111111000000000000000
